t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1544624639,99,23.129663,0.000000,0.000000,0.000000,events/second
1544624640,199,37.680574,34.200000,34.200000,34.200000,events/second
1544624641,298,47.464493,34.200000,34.200000,34.200000,events/second
1544624642,399,54.785005,34.200000,34.200000,34.200000,events/second
1544624643,499,60.239536,34.200000,34.200000,34.200000,events/second
1544624644,599,64.551586,34.200000,34.200000,34.200000,events/second
1544624645,699,68.003471,39.461078,35.287578,34.564542,events/second
1544624646,799,70.827316,39.461078,35.287578,34.564542,events/second
1544624647,899,73.197992,39.461078,35.287578,34.564542,events/second
1544624648,999,75.213279,39.461078,35.287578,34.564542,events/second
1544624649,1099,76.968451,39.461078,35.287578,34.564542,events/second
1544624650,1199,78.462554,44.301503,36.357181,34.927064,events/second
1544624651,1299,79.797831,44.301503,36.357181,34.927064,events/second
1544624652,1399,80.961923,44.301503,36.357181,34.927064,events/second
1544624653,1499,81.988808,44.301503,36.357181,34.927064,events/second
1544624654,1599,82.928743,44.301503,36.357181,34.927064,events/second
1544624655,1699,83.765054,48.754908,37.409104,35.287578,events/second
1544624656,1799,84.530446,48.754908,37.409104,35.287578,events/second
1544624657,1899,85.222432,48.754908,37.409104,35.287578,events/second
1544624658,1999,85.866598,48.754908,37.409104,35.287578,events/second
1544624659,2099,86.438797,48.754908,37.409104,35.287578,events/second
1544624660,2199,86.985897,52.852240,38.443640,35.646095,events/second
1544624661,2299,87.477422,52.852240,38.443640,35.646095,events/second
1544624662,2399,87.934733,52.852240,38.443640,35.646095,events/second
1544624663,2499,88.355482,52.852240,38.443640,35.646095,events/second
1544624664,2599,88.754224,52.852240,38.443640,35.646095,events/second
1544624665,2699,89.139465,56.621967,39.461078,36.002625,events/second
1544624666,2798,89.443350,56.621967,39.461078,36.002625,events/second
1544624667,2898,89.768115,56.621967,39.461078,36.002625,events/second
1544624668,2998,90.076802,56.621967,39.461078,36.002625,events/second
1544624669,3098,90.368011,56.621967,39.461078,36.002625,events/second
1544624670,3198,90.641529,60.074291,40.458392,36.356073,events/second
1544624671,3298,90.896382,60.074291,40.458392,36.356073,events/second
1544624672,3398,91.142568,60.074291,40.458392,36.356073,events/second
1544624673,3498,91.373125,60.074291,40.458392,36.356073,events/second
1544624674,3598,91.596472,60.074291,40.458392,36.356073,events/second
1544624675,3698,91.799130,63.266575,41.442528,36.708670,events/second
1544624676,3799,92.027538,63.266575,41.442528,36.708670,events/second
1544624677,3899,92.213565,63.266575,41.442528,36.708670,events/second
1544624678,3999,92.391726,63.266575,41.442528,36.708670,events/second
1544624679,4099,92.563855,63.266575,41.442528,36.708670,events/second
1544624680,4199,92.731661,66.219608,42.413704,37.060421,events/second
1544624681,4299,92.893377,66.219608,42.413704,37.060421,events/second
1544624682,4399,93.037727,66.219608,42.413704,37.060421,events/second
1544624683,4499,93.179367,66.219608,42.413704,37.060421,events/second
1544624684,4599,93.323039,66.219608,42.413704,37.060421,events/second
1544624685,4699,93.456872,68.920539,43.365522,37.409116,events/second
1544624686,4799,93.580500,68.920539,43.365522,37.409116,events/second
1544624687,4898,93.683291,68.920539,43.365522,37.409116,events/second
1544624688,4998,93.806691,68.920539,43.365522,37.409116,events/second
1544624689,5098,93.920894,68.920539,43.365522,37.409116,events/second
1544624690,5198,94.027236,71.389525,44.298302,37.754771,events/second
1544624691,5298,94.130660,71.389525,44.298302,37.754771,events/second
1544624692,5398,94.236960,71.389525,44.298302,37.754771,events/second
1544624693,5498,94.334603,71.389525,44.298302,37.754771,events/second
1544624694,5598,94.430037,71.389525,44.298302,37.754771,events/second
1544624695,5698,94.527799,73.677092,45.218970,38.099619,events/second
1544624696,5798,94.611113,73.677092,45.218970,38.099619,events/second
1544624697,5898,94.700702,73.677092,45.218970,38.099619,events/second
1544624698,5998,94.780674,73.677092,45.218970,38.099619,events/second
1544624699,6098,94.867575,73.677092,45.218970,38.099619,events/second
1544624700,6199,94.959300,75.781756,46.124420,38.442557,events/second
1544624701,6299,95.032000,75.781756,46.124420,38.442557,events/second
1544624702,6399,95.107356,75.781756,46.124420,38.442557,events/second
1544624703,6499,95.177989,75.781756,46.124420,38.442557,events/second
