t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1545119240,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119241,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119242,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119243,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119244,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119245,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119246,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119247,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119248,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119249,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119250,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119251,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119252,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119253,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119254,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119255,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119256,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119257,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119258,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119259,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119260,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119261,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119262,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119263,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119264,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119265,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119266,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119267,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119268,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119269,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119300,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119301,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119302,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119303,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119304,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119305,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119305,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119306,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119306,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119307,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119307,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119308,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119308,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119309,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119309,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119310,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119310,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119311,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119311,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119312,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119312,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119313,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119313,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119314,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119314,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119315,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119315,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119316,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119316,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119317,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119317,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119318,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119318,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119319,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119319,0,0.000000,0.000000,0.000000,0.000000,events/second
1545119320,0,0.000000,0.000000,0.000000,0.000000,events/second
